lookback_window,timebase,lookback_weeks,supplier_id,su_name,parent_suid,parent_su_name,parent_warehouse_states,n_parent_warehouse_states,sto,srm_contact,own_state,city_name,postal_code,address_1,assigned_induction_hub_name,assigned_station_state,assigned_station_zip,total_vol,weeks_with_vol,candidate_vol,candidate_share,direct_vol,direct_share,sparse_far_vol,sparse_far_share,jumbo_vol,jumbo_share,ghost_vol,ghost_share,misshipping_vol,misshipping_share,weeks_with_direct,pct_weeks_with_direct,direct_by_week,top_direct_hubs,n_ghost_hubs,ghost_hub_vol,ghost_hubs,n_misshipping_hubs,misshipping_hubs,missing_actual_hub_vol,missing_actual_hub_share,hub_mismatch_vol,state_mismatch_vol,far_hub_vol,within_200_vol,pct_within_200_of_assigned,avg_gain_on_candidate,avg_dist_assignedhub_customer,avg_dist_actualhub_customer,avg_dist_assignedhub_actualhub,ifr,delivery_rel,ifr_candidate,delivery_rel_candidate,ifr_direct,delivery_rel_direct,ifr_sparse_far,delivery_rel_sparse_far,ifr_jumbo,delivery_rel_jumbo,ifr_ghost,delivery_rel_ghost,ifr_misshipping,delivery_rel_misshipping,candidate_bucket_sum,candidate_partition_ok,direct_cohort
msbd_2w,msbd_su,2,34657,Unique Loom SC29707,20901,Unique Loom,"CA,SC",2,Rugs,Alex Resnick,SC,Fort Mill,29707,793 Fort Mill Highway,FORT MILL,SC,29708,7492,3,416,0.055525894287239724,0,0.0,0,0.0,2,0.00026695141484249865,0,0.0,414,0.05525894287239722,0,0.0,,,0,0,,1,Fresno (CA) 6%,387,0.05165509877202349,514,509,509,6596,0.9283603096410978,0.6689996939253215,792.4326991900541,663.3167844185598,183.84571144561212,0.9591564335290994,0.700347036839295,0.9783653846153846,0.6995192307692311,,,,,1.0,0.5,,,0.9782608695652174,0.7004830917874387,416,True,misshipping
msbd_2w,msbd_su,2,93132,Safavieh IN46075,381,Safavieh,"CA,GA,IN,NJ,NY,PA,TX",7,Rugs,Alex Resnick,IN,WHITESTOWN,46075,5635 ALBERT S WHITE DRIVE,NORTH  INDIANAPOLIS,IN,46077,6200,3,342,0.055161290322580644,1,0.00016129032258064516,1,0.00016129032258064516,23,0.003709677419354839,0,0.0,317,0.05112903225806452,1,0.3333333333333333,2026-08-09: 1,North  Indianapolis (IN) 0%,0,0,,10,Richmond Hill Ncpc (GA) 1%; West Savannah  Ncpc (GA) 1%; Lehigh Valley (PA) 1%; Woodbridge (NJ) 1%; Baytown (TX) 1%,187,0.030161290322580647,1855,574,572,5441,0.9048727756527524,0.19998029125818098,616.5929330254054,602.0384771344892,87.1120610687025,0.8190322580645167,0.6475806451612903,0.739766081871345,0.8099415204678365,1.0,1.0,1.0,1.0,0.7391304347826086,0.30434782608695654,,,0.7381703470031548,0.8454258675078868,342,True,misshipping
msbd_2w,msbd_su,2,223799,Safavieh Texas,381,Safavieh,"CA,GA,IN,NJ,NY,PA,TX",7,Rugs,Alex Resnick,TX,Baytown,77523,3200 S Farm to Market 565 Rd,BAYTOWN,TX,77521,6172,3,409,0.06626701231367466,3,0.0004860661049902787,2,0.0003240440699935191,28,0.004536616979909268,0,0.0,376,0.0609202851587816,2,0.6666666666666666,2026-08-09: 1; 2026-08-16: 2,Baytown (TX) 0%,0,0,,12,Richmond Hill Ncpc (GA) 1%; North  Indianapolis (IN) 1%; Greenwood (IN) 1%; Rialto (CA) 1%; Lehigh Valley (PA) 1%,283,0.04585223590408295,633,502,501,5388,0.9149261334691798,0.39428611348113024,923.802469590858,882.1656355455573,109.42256445751877,0.8467271548930653,0.6399870382372003,0.6797066014669926,0.8044009779951101,0.6666666666666667,0.0,0.0,1.0,0.9285714285714284,0.46428571428571436,,,0.6648936170212767,0.8351063829787233,409,True,misshipping
msbd_2w,msbd_su,2,19770,Safavieh NJ 08809,381,Safavieh,"CA,GA,IN,NJ,NY,PA,TX",7,Rugs,Alex Resnick,NJ,Lebanon,08833,111 Cokesbury Road,WOODBRIDGE LOCAL,NJ,8832,4785,3,125,0.02612330198537095,0,0.0,5,0.0010449320794148381,1,0.0002089864158829676,0,0.0,119,0.024869383490073144,0,0.0,,,0,0,,9,Greenwood (IN) 1%; North  Indianapolis (IN) 1%; West Savannah  Ncpc (GA) 0%; Richmond Hill Ncpc (GA) 0%; Lehigh Valley (PA) 0%,224,0.046812957157784746,4531,2393,144,4417,0.9684279763209822,0.48325308293882735,759.8603973509922,725.6546258503394,70.37339955849903,0.8482758620689669,0.6553814002089876,0.952,0.9039999999999998,,,1.0,0.8,1.0,0.0,,,0.949579831932773,0.9159663865546215,125,True,misshipping
msbd_2w,msbd_su,2,59119,Safavieh CA 92518,381,Safavieh,"CA,GA,IN,NJ,NY,PA,TX",7,Rugs,Alex Resnick,CA,Riverside,92518,20800 Krameria Aveune,RIALTO LOCAL,CA,92316,3248,3,108,0.0332512315270936,0,0.0,10,0.003078817733990148,11,0.0033866995073891628,0,0.0,87,0.026785714285714284,0,0.0,,,0,0,,9,North  Indianapolis (IN) 1%; West Savannah  Ncpc (GA) 0%; Greenwood (IN) 0%; Richmond Hill Ncpc (GA) 0%; Lehigh Valley (PA) 0%,63,0.01939655172413793,3143,121,140,3045,0.9560439560439561,0.44976579160938984,974.6158468025295,925.0403336960461,93.09735837046486,0.9039408866995078,0.6413177339901476,0.5555555555555555,0.8888888888888884,,,1.0,0.8999999999999999,1.0,0.4545454545454546,,,0.4482758620689654,0.9425287356321836,108,True,misshipping
msbd_2w,msbd_su,2,292469,Baishi NJ 08810 Bedshe,25843,"Bedshe International Co.,LTD","CA,NJ,TX",3,APS,Rainbow Wu,NJ,Dayton ,08810,11 Corn Rd ,PRINCETON,NJ,8810,3163,3,741,0.23427126146063865,0,0.0,1,0.0003161555485298767,11,0.0034777110338286435,0,0.0,729,0.23047739487828012,0,0.0,,,0,0,,9,Chino (CA) 17%; South Rialto - Ncpc (CA) 3%; Rancho Cucamonga Ncpc (CA) 1%; Rialto (CA) 1%; Burbank (CA) 0%,56,0.017704710717673097,2527,1264,1262,1845,0.5938204055358867,-1.616852131786325,830.2782273603075,1439.3213359528497,1105.8873098090003,0.9838760670249767,0.5823585203920337,0.985155195681511,0.19703103913630243,,,1.0,0.0,0.9090909090909091,0.27272727272727276,,,0.9862825788751708,0.19615912208504807,741,True,misshipping
msbd_2w,msbd_su,2,350373,York Wallcoverings PA 17408,5821,York Wallcoverings,"OH,PA",2,Decor,Maxwell Threlkeld,PA,York,17408,2075 Loucks Road,HARRISBURG LOCAL,PA,17339,3066,3,379,0.12361382909328114,0,0.0,0,0.0,0,0.0,0,0.0,379,0.12361382909328114,0,0.0,,,0,0,,1,Columbus (OH) 12%,219,0.07142857142857142,1858,1077,1075,1772,0.6224095539164032,0.2532928771547921,924.8031516743274,893.7542175683539,145.01079444246542,0.8274624918460526,0.7309197651663399,0.9788918205804746,0.8944591029023745,,,,,,,,,0.9788918205804746,0.8944591029023745,379,True,misshipping
msbd_2w,msbd_su,2,287737,Safavieh CA 95363,381,Safavieh,"CA,GA,IN,NJ,NY,PA,TX",7,Rugs,Alex Resnick,CA,Patterson,95363,400 Rogers Road,TRACY LOCAL,CA,95377,2889,3,95,0.032883350640359986,6,0.0020768431983385254,3,0.0010384215991692627,22,0.00761509172724126,0,0.0,64,0.02215299411561094,3,1.0,2026-08-02: 2; 2026-08-09: 3; 2026-08-16: 1,Tracy (CA) 0%; Rialto (CA) 0%,0,0,,10,Lehigh Valley (PA) 1%; North  Indianapolis (IN) 0%; Richmond Hill Ncpc (GA) 0%; Baytown (TX) 0%; Greenwood (IN) 0%,171,0.059190031152647975,2684,91,119,2599,0.9562178072111847,0.29899768587293046,1103.6521167283186,1070.9219966159048,86.71961954494599,0.9477327795084809,0.6282450674974034,0.8736842105263157,0.8421052631578949,1.0,0.6666666666666667,1.0,1.0,0.9545454545454545,0.5454545454545455,,,0.8281250000000001,0.9531250000000002,95,True,misshipping
msbd_2w,msbd_su,2,302333,NW Investment Inc TX 75041,64824,NW Investment Inc,"CA,PA,TX",3,APS Youth,Mariah Mao,TX,Garland,75041,3422 W Kingsley Rd,MESQUITE,TX,75149,2804,2,1138,0.405848787446505,0,0.0,1,0.0003566333808844508,3,0.0010699001426533524,0,0.0,1134,0.4044222539229672,0,0.0,,,0,0,,3,Fairless Hills (PA) 28%; Diamond Bar Rsf (CA) 12%; Rialto (CA) 0%,144,0.05135520684736091,2638,1346,1346,1314,0.493984962406015,0.477935646097672,876.336448220065,560.1437682367655,757.0896315989359,0.609129814550643,0.48751783166904483,0.9332161687170473,0.8207381370826003,,,0.0,0.0,0.33333333333333337,0.0,,,0.9356261022927698,0.8236331569664906,1138,True,misshipping
msbd_2w,msbd_su,2,34809,Safavieh GA31407 B,381,Safavieh,"CA,GA,IN,NJ,NY,PA,TX",7,Rugs,Alex Resnick,GA,Savannah,31407,455 Jimmy DeLoach Pkwy,SAVANNAH LOCAL,GA,31408,2743,3,135,0.04921618665694495,1,0.0003645643456069996,0,0.0,10,0.0036456434560699965,0,0.0,124,0.045205978855267955,1,0.3333333333333333,2026-08-02: 1,West Savannah  Ncpc (GA) 0%,0,0,,9,Lehigh Valley (PA) 2%; North  Indianapolis (IN) 1%; Woodbridge (NJ) 1%; Greenwood (IN) 1%; Garden City (NY) 0%,47,0.017134524243528983,2658,168,175,2521,0.9350890207715133,0.458774794041397,639.5184421052628,613.3062603648435,62.54321778447637,0.8964637258476117,0.6707983959168791,0.6666666666666666,0.911111111111111,1.0,1.0,,,0.8999999999999999,0.8,,,0.6451612903225806,0.9193548387096775,135,True,misshipping
msbd_2w,msbd_su,2,26803,Safavieh NJ 08822,381,Safavieh,"CA,GA,IN,NJ,NY,PA,TX",7,Rugs,Alex Resnick,NJ,Flemington,08822,1200 County Road 523,WOODBRIDGE LOCAL,NJ,8832,2295,3,46,0.020043572984749455,0,0.0,0,0.0,3,0.00130718954248366,0,0.0,43,0.018736383442265796,0,0.0,,,0,0,,8,North  Indianapolis (IN) 1%; Greenwood (IN) 1%; Richmond Hill Ncpc (GA) 0%; Lehigh Valley (PA) 0%; West Savannah  Ncpc (GA) 0%,143,0.062309368191721136,2095,1101,59,2093,0.9725836431226765,0.3799076681000801,836.3245932415507,808.3612179487183,70.78879885605349,0.8318082788671028,0.6766884531590397,0.8043478260869563,0.9130434782608696,,,,,1.0,0.6666666666666666,,,0.7906976744186046,0.9302325581395349,46,True,misshipping
msbd_2w,msbd_su,2,429755,SLM NJ7,58041,YISHANG TRADE INC,"CA,GA,NJ,TX",4,APS Outdoor,Melody Lu,NJ,Bordentown,08505,5206 US,ROBBINSVILLE,NJ,8691,2081,3,27,0.012974531475252283,0,0.0,5,0.002402691013935608,0,0.0,0,0.0,22,0.010571840461316675,0,0.0,,,0,0,,2,Richmond Hill Ncpc (GA) 1%; Sugar Land (TX) 0%,52,0.024987986544930323,2021,43,42,1987,0.9793001478560868,-0.021987302601445748,447.08017556693477,451.32068713450263,55.89687964338792,0.978856319077366,0.7467563671311882,0.9629629629629629,0.7777777777777776,,,1.0,0.8,,,,,0.9545454545454544,0.7727272727272727,27,True,misshipping
msbd_2w,msbd_su,2,213570,Feiss SC 29651,406,Feiss,"NV,SC",2,Lighting,John Harrison,SC,Greer,29651,170 SMITH FARMS PARKWAY,SPARTANBURG,SC,29301,2069,3,56,0.02706621556307395,0,0.0,0,0.0,7,0.0033832769453842437,0,0.0,49,0.023682938617689706,0,0.0,,,0,0,,1,Las Vegas (NV) 2%,131,0.06331561140647655,111,110,110,1828,0.9432404540763674,-1.881074470130756,866.0477510782497,910.708125399872,114.3909857670006,0.9681005316578052,0.7796036732721127,1.0,0.41071428571428564,,,,,1.0,0.28571428571428575,,,1.0,0.4285714285714286,56,True,misshipping
msbd_2w,msbd_su,2,85184,Aosom LLC GA30294,5725,Aosom LLC,"CA,GA,NJ",3,APS Outdoor,Amber Xiang,GA,Ellenwood,30294,4178 E Tanners Church Rd,ATLANTA LOCAL,GA,30294,1935,3,219,0.11317829457364341,0,0.0,3,0.0015503875968992248,1,0.0005167958656330749,0,0.0,215,0.1111111111111111,0,0.0,,,0,0,,3,Robbinsville (NJ) 9%; Rialto (CA) 2%; South Rialto - Ncpc (CA) 0%,38,0.019638242894056846,1879,255,255,1642,0.8655772272008434,-0.004782093592244586,726.8350456621002,720.9042002301508,141.14864289515663,0.9617571059431529,0.6790697674418612,0.995433789954338,0.6438356164383562,,,1.0,0.6666666666666667,1.0,0.0,,,0.9953488372093023,0.6465116279069769,219,True,misshipping
msbd_2w,msbd_su,2,410177,NW Investment Inc PA 19114,64824,NW Investment Inc,"CA,PA,TX",3,APS Decor,Mariah Mao,PA,Philadelphia,19114,9250 Ashton Rd,PHILADELPHIA,PA,19154,1794,3,198,0.11036789297658862,0,0.0,0,0.0,2,0.0011148272017837235,0,0.0,196,0.10925306577480491,0,0.0,,,0,0,,3,South Dallas Rsf (TX) 9%; Industry (CA) 1%; Diamond Bar Rsf (CA) 1%,91,0.050724637681159424,1688,227,226,1477,0.8672930123311803,-0.2793773040412389,614.5692975532754,660.3599508599503,250.1717417061609,0.857302118171684,0.6510590858416951,0.45454545454545453,0.28282828282828304,,,,,0.0,0.0,,,0.4591836734693879,0.2857142857142858,198,True,misshipping
msbd_2w,msbd_su,2,14765,Flash Furniture GA 30114,7347,Flash Furniture,"CA,GA,MS",3,Casegoods,Megan White,GA,Canton,30114,4350 Ball Ground Hwy,MARIETTA LOCAL,GA,30144,1780,3,84,0.04719101123595506,0,0.0,0,0.0,2,0.0011235955056179776,0,0.0,82,0.046067415730337076,0,0.0,,,0,0,,3,Olive Branch (MS) 4%; Chino (CA) 0%; Industry (CA) 0%,312,0.1752808988764045,1431,125,125,1343,0.9148501362397821,0.04000338876657551,763.118434782609,735.9118860510812,44.25741258741265,0.2792134831460676,0.2926966292134835,0.34523809523809523,0.41666666666666674,,,,,0.5,0.0,,,0.3414634146341463,0.42682926829268303,84,True,misshipping
msbd_2w,msbd_su,2,325564,SLM GA3,58041,YISHANG TRADE INC,"CA,GA,NJ,TX",4,APS Outdoor,Melody Lu,GA,Savannah,31407,150 Portside Ct,SAVANNAH LOCAL,GA,31408,1770,3,29,0.01638418079096045,0,0.0,0,0.0,5,0.002824858757062147,0,0.0,24,0.013559322033898305,0,0.0,,,0,0,,3,East Brunswick (NJ) 1%; Chino Hills Ncpc (CA) 0%; Baytown (TX) 0%,46,0.02598870056497175,1712,96,96,1628,0.9443155452436195,-0.3518576038485038,594.3473852040797,580.4411764705875,62.02780373831778,0.934463276836158,0.7022598870056501,0.9310344827586206,0.6896551724137934,,,,,1.0,0.6,,,0.9166666666666665,0.7083333333333335,29,True,misshipping
msbd_2w,msbd_su,2,23629,Home City Inc. NJ 08817,2740,Home City Inc.,"NJ,TX",2,Soft Home,Jaiden Lawlor,NJ,Edison,08817,380 Mill Road,WOODBRIDGE LOCAL,NJ,8832,1690,3,47,0.027810650887573965,0,0.0,0,0.0,4,0.002366863905325444,0,0.0,43,0.02544378698224852,0,0.0,,,0,0,,1,Houston (TX) 3%,81,0.04792899408284024,1605,48,48,1561,0.9701678060907396,0.08568414956102914,1032.8207275803738,1038.692648361381,49.302137020741576,0.6798816568047343,0.46331360946745587,0.9148936170212765,0.702127659574468,,,,,0.75,0.25,,,0.9302325581395345,0.7441860465116279,47,True,misshipping
msbd_2w,msbd_su,2,70707,Aosom LLC NJ 08022,5725,Aosom LLC,"CA,GA,NJ",3,APS Outdoor,Amber Xiang,NJ,Mansfield,08022,1179 Florence Road,ROBBINSVILLE,NJ,8691,1629,3,54,0.03314917127071823,0,0.0,0,0.0,1,0.0006138735420503376,0,0.0,53,0.032535297728667895,0,0.0,,,0,0,,2,South Atlanta Ncpc (GA) 3%; Rialto (CA) 0%,29,0.01780233271945979,68,67,67,1533,0.958125,0.410849385403418,524.1628113878996,510.79039145907467,53.83094339622637,0.991405770411296,0.6611418047882134,0.9444444444444443,0.6111111111111109,,,,,1.0,0.0,,,0.9433962264150942,0.6226415094339623,54,True,misshipping
msbd_2w,msbd_su,2,338215,"Bedshe International Co.,LTD CA 91761",25843,"Bedshe International Co.,LTD","CA,NJ,TX",3,APS,Rainbow Wu,CA,Ontario ,91761,500 S Dupont Ave,CHINO LOCAL,CA,91710,1586,3,236,0.14880201765447668,0,0.0,0,0.0,6,0.0037831021437578815,0,0.0,230,0.1450189155107188,0,0.0,,,0,0,,3,Princeton (NJ) 8%; East Brunswick (NJ) 7%; Fort Worth (TX) 0%,50,0.031525851197982346,1527,339,339,1197,0.779296875,-1.0718661845469541,1308.1681623931638,1536.8921496698476,606.7130975769481,0.9716267339218165,0.6904161412358129,0.9872881355932204,0.5254237288135593,,,,,1.0,0.5,,,0.9869565217391305,0.526086956521739,236,True,misshipping
msbd_2w,msbd_su,2,401646,NEO CHAIR INC GA 30567,50192,NEO CHAIR INC,"CA,GA,NJ,TX",4,Casegoods,Karolina Coulter,GA,Pendergrass,30567 ,8206 US Highway 129 N ,BRASELTON,GA,30517,1409,3,93,0.0660042583392477,0,0.0,0,0.0,21,0.014904187366926898,0,0.0,72,0.0511000709723208,0,0.0,,,0,0,,4,Princeton (NJ) 3%; Baytown (TX) 2%; Los Angeles (CA) 0%; Santa Fe Springs (CA) 0%,13,0.009226401703335699,109,106,106,1290,0.9240687679083095,0.05530928687318801,578.2978593272164,571.6297090352215,62.47104693140792,0.9794180269694821,0.7246273953158281,0.8602150537634409,0.7204301075268816,,,,,0.5714285714285714,0.42857142857142855,,,0.9444444444444444,0.8055555555555554,93,True,misshipping
msbd_2w,msbd_su,2,60227,Unique Loom CA 93725,20901,Unique Loom,"CA,SC",2,Rugs,Alex Resnick,CA,Fresno,93725,3480 S East Ave,FRESNO,CA,93725,1316,3,79,0.06003039513677812,0,0.0,1,0.0007598784194528875,2,0.001519756838905775,0,0.0,76,0.057750759878419454,0,0.0,,,0,0,,1,Fort Mill (SC) 6%,44,0.03343465045592705,99,99,99,1173,0.9221698113207547,0.4558243816293845,1047.0840791738378,954.0056042031522,199.4965162311955,0.9772036474164135,0.6215805471124622,0.9873417721518988,0.7848101265822784,,,1.0,1.0,1.0,0.0,,,0.986842105263158,0.8026315789473685,79,True,misshipping
msbd_2w,msbd_su,2,482466,海派艇新泽西仓,25843,"Bedshe International Co.,LTD","CA,NJ,TX",3,APS Soft Home,Rainbow Wu,NJ,DAYTON,08810,400 HELLER PARK CT,PRINCETON,NJ,8810,1310,3,162,0.12366412213740458,0,0.0,1,0.0007633587786259542,1,0.0007633587786259542,0,0.0,160,0.12213740458015267,0,0.0,,,0,0,,6,South Rialto - Ncpc (CA) 6%; Chino (CA) 4%; Burbank (CA) 1%; Rialto (CA) 0%; Arcadia (CA) 0%,23,0.017557251908396947,296,278,277,1010,0.7847707847707848,-1.5994330892924742,852.8700000000005,1155.7390430622,588.8536718750006,0.987786259541985,0.7595419847328242,0.993827160493827,0.23456790123456792,,,1.0,1.0,1.0,0.0,,,0.9937499999999999,0.23124999999999996,162,True,misshipping
msbd_2w,msbd_su,2,17059,Flash Furniture MS 38654,7347,Flash Furniture,"CA,GA,MS",3,Casegoods,Megan White,MS,Olive Branch,38654,8631 Polk Lane,OLIVE BRANCH LOCAL,MS,38654,1274,3,58,0.04552590266875981,0,0.0,3,0.002354788069073783,1,0.0007849293563579278,0,0.0,54,0.0423861852433281,0,0.0,,,0,0,,3,Marietta (GA) 3%; Chino (CA) 1%; Chino Hills Ncpc (CA) 0%,203,0.15934065934065933,1050,90,90,981,0.9159663865546218,0.2599336865205995,906.9345316934725,891.9124865446722,57.14380952380948,0.2653061224489792,0.4513343799058087,0.31034482758620696,0.4137931034482759,,,0.0,0.0,0.0,0.0,,,0.3333333333333333,0.4444444444444445,58,True,misshipping
msbd_2w,msbd_su,2,10114,Safavieh PA 18042a,381,Safavieh,"CA,GA,IN,NJ,NY,PA,TX",7,Rugs,Alex Resnick,PA,Easton,18042,2410 North Hampton St,LEHIGH VALLEY LOCAL,PA,18067,1206,3,27,0.022388059701492536,0,0.0,0,0.0,3,0.0024875621890547263,0,0.0,24,0.01990049751243781,0,0.0,,,0,0,,7,North  Indianapolis (IN) 0%; West Savannah  Ncpc (GA) 0%; Richmond Hill Ncpc (GA) 0%; Greenwood (IN) 0%; Woodbridge (NJ) 0%,93,0.07711442786069651,1106,565,38,1075,0.9658580413297394,0.4757995677812898,701.3993757802749,698.1328145265894,71.0780995475113,0.792703150912106,0.567164179104477,0.8888888888888887,0.9629629629629629,,,,,1.0,1.0,,,0.8749999999999999,0.9583333333333333,27,True,misshipping
msbd_2w,msbd_su,2,482463,海派艇美西仓,25843,"Bedshe International Co.,LTD","CA,NJ,TX",3,APS Soft Home,Rainbow Wu,CA,Fontana,92337,14144 Santa Ana Ave,WEST RIALTO,CA,92316,1145,3,102,0.0890829694323144,0,0.0,1,0.0008733624454148472,2,0.0017467248908296944,0,0.0,99,0.08646288209606987,0,0.0,,,0,0,,2,Princeton (NJ) 8%; East Brunswick (NJ) 1%,24,0.02096069868995633,1117,147,147,974,0.8688670829616414,-1.2151722085955956,1612.832157258065,1779.07679914071,363.0737030411448,0.9624454148471623,0.7379912663755464,1.0,0.5588235294117646,,,1.0,0.0,1.0,0.0,,,1.0,0.5757575757575754,102,True,misshipping
msbd_2w,msbd_su,2,33445,Kraus NJ08075,2146,Kraus,"CA,NC,NJ",3,Plumbing,Kaitlyn Gully,NJ,Cinnaminson,08075,2703 Cindel Drive,CAMDEN,NJ,8007,1056,3,14,0.013257575757575758,0,0.0,0,0.0,3,0.002840909090909091,0,0.0,11,0.010416666666666666,0,0.0,,,0,0,,3,Greensboro (NC) 1%; Chino (CA) 0%; Hickory (NC) 0%,29,0.027462121212121212,38,31,25,1002,0.9756572541382668,-0.528537209663623,1273.925452352232,1281.7259569378002,25.51073891625618,0.9886363636363643,0.6363636363636368,0.7857142857142857,0.4285714285714286,,,,,1.0,0.33333333333333337,,,0.7272727272727272,0.45454545454545453,14,True,misshipping
msbd_2w,msbd_su,2,370220,"Shenzhen Litian Technology Co., Ltd NJ 08817",254999,"Shenzhen Litian Technology Co., Ltd","CA,GA,NJ,PA,SC,TX",6,APS Home Improvement,Nicole Sun,NJ,Edison,08817,300 Cedar Lane Suite B,WOODBRIDGE LOCAL,NJ,8832,1024,3,68,0.06640625,0,0.0,1,0.0009765625,5,0.0048828125,0,0.0,62,0.060546875,0,0.0,,,0,0,,5,Richmond Hill Ncpc (GA) 4%; West Savannah  Ncpc (GA) 1%; South Rialto - Ncpc (CA) 1%; Savannah (GA) 0%; Houston (TX) 0%,23,0.0224609375,996,208,86,915,0.9140859140859141,-0.2152787656179684,565.5053353658533,602.8773472429208,104.0665659617321,0.9091796875000002,0.6630859374999997,0.8970588235294116,0.42647058823529405,,,1.0,1.0,1.0,0.8,,,0.887096774193548,0.3870967741935485,68,True,misshipping
msbd_2w,msbd_su,2,112675,Sign Leader Incorporation CA 91766,109826,Sign Leader Incorporation,"CA,PA,TX",3,APS Youth,Mariah Mao,CA,Pomona,91766,2000 W Mission Blvd,INDUSTRY,CA,91789,1022,3,94,0.09197651663405088,0,0.0,1,0.0009784735812133072,2,0.0019569471624266144,0,0.0,91,0.08904109589041095,0,0.0,,,0,0,,3,Fairless Hills (PA) 8%; South Dallas Rsf (TX) 1%; North Pittsburgh (PA) 0%,82,0.08023483365949119,157,98,95,845,0.898936170212766,0.13291057210734786,1573.2634812286676,1529.0823456790124,259.0289247311826,0.9266144814090025,0.5528375733855186,0.8510638297872342,0.7659574468085107,,,0.0,1.0,0.0,0.5,,,0.8791208791208792,0.7692307692307692,94,True,misshipping
msbd_2w,msbd_su,2,100167,NingBo KaiMeiChen DianZiShangWu You CA 92571,83386,"Ningbo FanKai E-commerce Co., Ltd._1","CA,GA,IL,NJ,PA",5,APS Home Improvement,Nicole Sun,CA,Perris,92571,728 W Rider St,RIALTO LOCAL,CA,92316,989,3,77,0.07785642062689585,0,0.0,4,0.004044489383215369,31,0.03134479271991911,0,0.0,42,0.042467138523761376,0,0.0,,,0,0,,9,Fairless Hills (PA) 2%; South Atlanta Ncpc (GA) 1%; East Brunswick (NJ) 1%; King Of Prussia (PA) 0%; Atlanta (GA) 0%,19,0.019211324570273004,961,112,108,862,0.8886597938144329,-0.011863758666814798,1373.2044848484857,1341.2863361547766,258.2411825726142,0.9878665318503537,0.7906976744186042,1.0,0.7662337662337662,,,1.0,0.75,1.0,0.5161290322580645,,,1.0,0.9523809523809522,77,True,misshipping
msbd_2w,msbd_su,2,411388,NingBo KaiMeiChen DianZiShangWu YouXianGongSi NJ 08016,83386,"Ningbo FanKai E-commerce Co., Ltd._1","CA,GA,IL,NJ,PA",5,APS Home Improvement,Nicole Sun,NJ,Burlington,08016,1900B River Rd,ROBBINSVILLE,NJ,8691,962,3,65,0.06756756756756757,0,0.0,3,0.0031185031185031187,0,0.0,0,0.0,62,0.06444906444906445,0,0.0,,,0,0,,14,Fairless Hills (PA) 2%; Los Angeles (CA) 1%; Chino (CA) 1%; Arcadia (CA) 1%; Rialto (CA) 1%,16,0.016632016632016633,874,832,136,810,0.8562367864693446,-0.9225381015187275,695.3663235294129,811.7126198083072,357.36797454931116,0.9885654885654881,0.7952182952182947,1.0,0.276923076923077,,,1.0,1.0,,,,,1.0,0.24193548387096786,65,True,misshipping
msbd_2w,msbd_su,2,327976,SHEN JUN TRADING LIMITED NJ 08810,327975,SHEN JUN TRADING LIMITED,"CA,NJ",2,APS,Regan Zou,NJ,Dayton,08810,11 Corn Rd,PRINCETON,NJ,8810,941,2,186,0.19766206163655686,0,0.0,0,0.0,0,0.0,0,0.0,186,0.19766206163655686,0,0.0,,,0,0,,1,Chino (CA) 20%,12,0.012752391073326248,927,290,290,639,0.6878363832077503,-1.6802704620275957,744.2750962772785,1211.570580645162,865.6507559395249,0.9383634431455901,0.747077577045695,0.9784946236559137,0.4408602150537635,,,,,,,,,0.9784946236559137,0.4408602150537635,186,True,misshipping
msbd_2w,msbd_su,2,325759,"Chenxin Optoelectronic Co., Limited GA 31407",43881,"Chenxin Optoelectronic Co., Limited","CA,GA,IL,NJ,TX",5,APS Outdoor,Moti Mao,GA,Savannah,31407,150 Portside Ct,SAVANNAH LOCAL,GA,31408,906,3,36,0.039735099337748346,0,0.0,2,0.002207505518763797,4,0.004415011037527594,0,0.0,30,0.033112582781456956,0,0.0,,,0,0,,7,Sugar Land (TX) 1%; Chino Hills Ncpc (CA) 1%; Baytown (TX) 1%; East Brunswick (NJ) 1%; Chicago (IL) 0%,14,0.01545253863134658,887,97,98,794,0.8901345291479821,-0.16301737960534637,525.5906947890817,509.58040712468227,95.90856820744082,0.9205298013245032,0.6920529801324512,0.9444444444444443,0.7222222222222222,,,1.0,0.5,0.75,1.0,,,0.9666666666666666,0.7,36,True,misshipping
msbd_2w,msbd_su,2,11861,Nuvo Lighting TX 75234,3478,Nuvo Lighting,"CA,FL,NY,TX,WA",5,Lighting,Kya Mehlman,TX,Farmers Branch,75234,2000 Valwood Parkway,IRVING,TX,75062,869,3,150,0.17261219792865362,0,0.0,3,0.0034522439585730723,3,0.0034522439585730723,0,0.0,144,0.16570771001150747,0,0.0,,,0,0,,4,Hayward (CA) 9%; Miami (FL) 5%; Long Island (NY) 2%; Everett (WA) 1%,23,0.026467203682393557,319,210,208,638,0.7541371158392435,0.5435495046373688,969.7003809523802,730.1367796610173,406.2776710684273,0.7882623705408511,0.6029919447640977,0.9799999999999996,0.9199999999999997,,,0.33333333333333337,0.33333333333333337,1.0,0.33333333333333337,,,0.9930555555555555,0.9444444444444446,150,True,misshipping
